Sito;Lissone;
Data e ora del report;2017/11/9 07:50:46  ;Dalla data;2017/11/8 00:00:00  ;Alla data;2017/11/9 00:00:00  ;Frequenza;15 min.;
;LabPTsx-T;LabPTsx-U;LabPTdx-T;LabPTdx-U;cacli-T;cacli-U;LabPSsx-T;LabPSsx-U;LabPSdx-T;LabPSdx-U
2017/11/8 00:15:00  ;19.70     ;46.90     ;19.70     ;46.30     ;18.60     ;51.00     ;19.80     ;40.30     ;21.00     ;41.10     
2017/11/8 00:30:00  ;19.70     ;46.90     ;19.70     ;46.30     ;18.60     ;51.00     ;19.90     ;41.30     ;21.00     ;41.10     
2017/11/8 00:45:00  ;19.70     ;46.90     ;19.70     ;46.30     ;18.80     ;50.50     ;19.90     ;41.30     ;21.00     ;41.10     
2017/11/8 01:00:00  ;19.70     ;46.90     ;19.70     ;46.30     ;18.90     ;50.00     ;19.90     ;41.30     ;21.00     ;41.10     
2017/11/8 01:15:00  ;19.70     ;46.90     ;19.70     ;46.80     ;18.70     ;50.00     ;19.90     ;41.80     ;21.00     ;41.10     
2017/11/8 01:30:00  ;19.70     ;46.90     ;19.70     ;46.80     ;18.60     ;50.50     ;19.90     ;41.80     ;21.00     ;41.10     
2017/11/8 01:45:00  ;19.70     ;46.90     ;19.70     ;46.80     ;18.60     ;50.50     ;19.90     ;41.80     ;21.00     ;41.10     
2017/11/8 02:00:00  ;19.70     ;47.40     ;19.70     ;46.80     ;18.60     ;50.50     ;20.00     ;41.80     ;21.00     ;41.10     
2017/11/8 02:15:00  ;19.70     ;47.40     ;19.70     ;46.80     ;18.60     ;50.50     ;20.00     ;41.80     ;21.00     ;41.10     
2017/11/8 02:30:00  ;19.70     ;47.40     ;19.70     ;46.80     ;18.60     ;50.50     ;20.00     ;41.80     ;21.10     ;41.10     
2017/11/8 02:45:00  ;19.70     ;47.40     ;19.70     ;46.80     ;18.70     ;50.50     ;20.00     ;41.80     ;21.10     ;41.10     
2017/11/8 03:00:00  ;19.70     ;47.40     ;19.70     ;46.80     ;18.70     ;50.50     ;20.00     ;41.80     ;21.10     ;41.10     
2017/11/8 03:15:00  ;19.70     ;47.40     ;19.70     ;46.80     ;18.70     ;50.50     ;20.00     ;41.80     ;21.10     ;41.10     
2017/11/8 03:30:00  ;19.70     ;47.40     ;19.70     ;46.80     ;18.80     ;50.50     ;20.00     ;41.80     ;21.10     ;41.10     
2017/11/8 03:45:00  ;19.70     ;47.40     ;19.70     ;46.80     ;18.80     ;50.50     ;20.00     ;41.30     ;21.10     ;41.10     
2017/11/8 04:00:00  ;19.70     ;47.40     ;19.70     ;46.80     ;18.70     ;50.50     ;20.00     ;41.80     ;21.10     ;41.10     
2017/11/8 04:15:00  ;19.70     ;47.40     ;19.70     ;46.80     ;18.60     ;50.50     ;20.00     ;41.80     ;21.10     ;41.10     
2017/11/8 04:30:00  ;19.70     ;47.40     ;19.70     ;46.80     ;18.60     ;50.50     ;20.00     ;41.80     ;21.10     ;41.10     
2017/11/8 04:45:00  ;19.70     ;47.40     ;19.70     ;46.80     ;18.70     ;50.50     ;20.00     ;41.30     ;21.10     ;41.10     
2017/11/8 05:00:00  ;19.70     ;47.40     ;19.70     ;46.80     ;18.80     ;50.50     ;20.00     ;40.80     ;21.10     ;41.10     
2017/11/8 05:15:00  ;19.70     ;47.40     ;19.70     ;46.80     ;18.80     ;50.50     ;20.00     ;41.30     ;21.10     ;41.10     
2017/11/8 05:30:00  ;19.70     ;47.40     ;19.70     ;46.80     ;18.80     ;50.50     ;20.00     ;41.30     ;21.10     ;41.10     
2017/11/8 05:45:00  ;19.70     ;47.40     ;19.80     ;46.80     ;18.90     ;50.50     ;20.00     ;41.30     ;21.10     ;41.10     
2017/11/8 06:00:00  ;19.70     ;47.40     ;19.80     ;46.80     ;19.00     ;50.00     ;20.00     ;41.30     ;21.10     ;41.10     
2017/11/8 06:15:00  ;19.70     ;47.40     ;19.80     ;46.80     ;19.00     ;50.00     ;20.00     ;41.30     ;21.10     ;41.10     
2017/11/8 06:30:00  ;19.70     ;47.40     ;19.80     ;46.80     ;19.00     ;50.00     ;20.00     ;41.30     ;21.10     ;41.10     
