Sito;Lissone;
Data e ora del report;2017/12/1 07:50:31  ;Dalla data;2017/11/30 00:00:00 ;Alla data;2017/12/1 00:00:00  ;Frequenza;15 min.;
;LabPTsx-T;LabPTsx-U;LabPTdx-T;LabPTdx-U;cacli-T;cacli-U;LabPSsx-T;LabPSsx-U;LabPSdx-T;LabPSdx-U
2017/11/30 00:15:00 ;20.30     ;30.00     ;20.80     ;28.10     ;20.80     ;30.30     ;21.10     ;26.50     ;22.60     ;24.80     
2017/11/30 00:30:00 ;20.30     ;30.00     ;20.80     ;28.10     ;20.80     ;30.30     ;21.10     ;26.50     ;22.60     ;24.80     
2017/11/30 00:45:00 ;20.30     ;30.00     ;20.80     ;28.10     ;20.80     ;30.30     ;21.10     ;26.50     ;22.60     ;24.80     
2017/11/30 01:00:00 ;20.30     ;30.00     ;20.80     ;28.10     ;20.80     ;30.30     ;21.10     ;26.50     ;22.60     ;24.80     
2017/11/30 01:15:00 ;20.30     ;30.00     ;20.70     ;28.10     ;20.80     ;30.30     ;21.10     ;26.50     ;22.50     ;24.80     
2017/11/30 01:30:00 ;20.30     ;30.00     ;20.70     ;28.10     ;20.80     ;30.30     ;21.00     ;26.50     ;22.50     ;24.80     
2017/11/30 01:45:00 ;20.30     ;30.00     ;20.70     ;28.10     ;20.80     ;30.30     ;21.00     ;26.50     ;22.50     ;24.80     
2017/11/30 02:00:00 ;20.30     ;30.00     ;20.70     ;28.60     ;20.80     ;30.30     ;21.00     ;26.50     ;22.50     ;24.80     
2017/11/30 02:15:00 ;20.30     ;30.00     ;20.70     ;28.60     ;20.80     ;30.30     ;21.00     ;26.50     ;22.60     ;24.80     
2017/11/30 02:30:00 ;20.30     ;30.00     ;20.70     ;28.60     ;20.80     ;30.30     ;21.00     ;27.00     ;22.60     ;24.80     
2017/11/30 02:45:00 ;20.20     ;30.50     ;20.70     ;28.60     ;20.80     ;30.30     ;20.80     ;27.50     ;22.40     ;25.30     
2017/11/30 03:00:00 ;20.00     ;30.50     ;20.60     ;29.10     ;20.70     ;30.30     ;20.70     ;27.50     ;22.20     ;25.30     
2017/11/30 03:15:00 ;20.00     ;30.50     ;20.50     ;29.10     ;20.70     ;30.30     ;20.70     ;27.50     ;22.30     ;25.30     
2017/11/30 03:30:00 ;20.00     ;30.50     ;20.50     ;29.10     ;20.70     ;30.30     ;20.70     ;27.50     ;22.30     ;25.30     
2017/11/30 03:45:00 ;20.00     ;30.50     ;20.50     ;29.10     ;20.70     ;30.30     ;20.80     ;27.50     ;22.40     ;25.30     
2017/11/30 04:00:00 ;20.00     ;30.50     ;20.50     ;29.10     ;20.70     ;30.30     ;20.80     ;27.50     ;22.40     ;25.30     
2017/11/30 04:15:00 ;20.00     ;30.50     ;20.50     ;29.10     ;20.80     ;30.30     ;20.80     ;27.50     ;22.40     ;25.30     
2017/11/30 04:30:00 ;20.00     ;30.50     ;20.60     ;29.10     ;20.80     ;30.30     ;20.90     ;27.50     ;22.40     ;25.30     
2017/11/30 04:45:00 ;19.90     ;30.50     ;20.50     ;29.10     ;20.70     ;30.30     ;20.60     ;27.50     ;22.20     ;25.30     
2017/11/30 05:00:00 ;19.80     ;30.50     ;20.40     ;29.10     ;20.60     ;30.30     ;20.40     ;28.00     ;22.10     ;25.30     
2017/11/30 05:15:00 ;19.80     ;30.50     ;20.30     ;29.10     ;20.60     ;30.30     ;20.50     ;28.00     ;22.20     ;25.30     
2017/11/30 05:30:00 ;19.80     ;30.50     ;20.30     ;29.10     ;20.60     ;30.30     ;20.50     ;28.00     ;22.20     ;25.30     
2017/11/30 05:45:00 ;19.80     ;30.50     ;20.30     ;29.10     ;20.60     ;30.30     ;20.70     ;28.00     ;22.30     ;25.30     
2017/11/30 06:00:00 ;19.90     ;30.50     ;20.40     ;29.10     ;20.70     ;30.30     ;20.70     ;27.50     ;22.30     ;25.30     
2017/11/30 06:15:00 ;19.90     ;30.50     ;20.40     ;29.10     ;20.70     ;30.30     ;20.80     ;27.50     ;22.40     ;25.30     
2017/11/30 06:30:00 ;19.90     ;30.50     ;20.40     ;29.10     ;20.70     ;30.30     ;20.80     ;27.00     ;22.40     ;24.80     
2017/11/30 06:45:00 ;19.90     ;30.50     ;20.40     ;29.10     ;20.70     ;29.80     ;20.80     ;26.50     ;22.40     ;24.80     
2017/11/30 07:00:00 ;19.90     ;30.50     ;20.40     ;29.10     ;20.70     ;29.80     ;20.80     ;26.50     ;22.40     ;24.80     
2017/11/30 07:15:00 ;19.90     ;30.50     ;20.40     ;29.10     ;20.70     ;29.80     ;20.80     ;26.00     ;22.40     ;24.80     
