Sito;Lissone;
Data e ora del report;2017/12/27 07:50:30 ;Dalla data;2017/12/26 00:00:00 ;Alla data;2017/12/27 00:00:00 ;Frequenza;15 min.;
;LabPTsx-T;LabPTsx-U;LabPTdx-T;LabPTdx-U;cacli-T;cacli-U;LabPSsx-T;LabPSsx-U;LabPSdx-T;LabPSdx-U
2017/12/26 00:15:00 ;20.60     ;34.70     ;20.70     ;33.70     ;19.00     ;38.90     ;20.30     ;34.00     ;21.90     ;31.60     
2017/12/26 00:30:00 ;20.60     ;34.70     ;20.70     ;33.70     ;18.90     ;39.90     ;20.30     ;34.50     ;21.90     ;31.60     
2017/12/26 00:45:00 ;20.60     ;35.20     ;20.70     ;34.20     ;18.90     ;39.90     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 01:00:00 ;20.60     ;35.20     ;20.70     ;34.20     ;19.10     ;39.90     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 01:15:00 ;20.60     ;35.20     ;20.70     ;34.20     ;18.80     ;40.40     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 01:30:00 ;20.60     ;35.20     ;20.70     ;34.20     ;18.90     ;40.40     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 01:45:00 ;20.50     ;35.20     ;20.70     ;34.70     ;18.80     ;40.40     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 02:00:00 ;20.50     ;35.20     ;20.60     ;34.70     ;18.90     ;40.40     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 02:15:00 ;20.50     ;35.20     ;20.60     ;34.70     ;19.00     ;40.40     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 02:30:00 ;20.50     ;35.20     ;20.60     ;34.70     ;18.80     ;40.40     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 02:45:00 ;20.50     ;35.70     ;20.60     ;34.70     ;18.70     ;40.40     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 03:00:00 ;20.50     ;35.70     ;20.60     ;34.70     ;18.60     ;40.90     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 03:15:00 ;20.40     ;35.70     ;20.50     ;34.70     ;18.60     ;40.90     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 03:30:00 ;20.40     ;35.70     ;20.50     ;34.70     ;18.60     ;40.90     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 03:45:00 ;20.40     ;35.70     ;20.50     ;34.70     ;18.60     ;40.90     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 04:00:00 ;20.40     ;35.70     ;20.50     ;34.70     ;18.70     ;40.90     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 04:15:00 ;20.30     ;35.70     ;20.50     ;34.70     ;18.60     ;40.90     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 04:30:00 ;20.30     ;35.70     ;20.50     ;34.70     ;18.60     ;40.90     ;20.30     ;35.00     ;21.90     ;32.10     
2017/12/26 04:45:00 ;20.30     ;35.70     ;20.40     ;34.70     ;18.40     ;40.90     ;20.30     ;35.00     ;21.80     ;32.10     
2017/12/26 05:00:00 ;20.30     ;35.70     ;20.40     ;34.70     ;18.60     ;40.40     ;20.30     ;35.00     ;21.80     ;32.10     
2017/12/26 05:15:00 ;20.30     ;35.70     ;20.40     ;34.70     ;18.60     ;40.40     ;20.30     ;35.00     ;21.80     ;32.10     
2017/12/26 05:30:00 ;20.30     ;35.70     ;20.40     ;34.70     ;18.60     ;40.40     ;20.30     ;35.00     ;21.80     ;32.10     
2017/12/26 05:45:00 ;20.30     ;35.70     ;20.40     ;34.70     ;18.60     ;40.40     ;20.30     ;35.00     ;21.80     ;32.10     
2017/12/26 06:00:00 ;20.30     ;35.70     ;20.40     ;34.70     ;18.40     ;40.40     ;20.30     ;35.00     ;21.80     ;32.10     
2017/12/26 06:15:00 ;20.30     ;35.70     ;20.40     ;34.70     ;18.40     ;40.40     ;20.30     ;35.00     ;21.80     ;32.10     
