Sito;Lissone;
Data e ora del report;2018/1/1 07:51:04   ;Dalla data;2017/12/31 00:00:00 ;Alla data;2018/1/1 00:00:00   ;Frequenza;15 min.;
;LabPTsx-T;LabPTsx-U;LabPTdx-T;LabPTdx-U;cacli-T;cacli-U;LabPSsx-T;LabPSsx-U;LabPSdx-T;LabPSdx-U
2017/12/31 00:15:00 ;19.40     ;26.70     ;19.60     ;25.30     ;19.10     ;27.70     ;19.60     ;24.30     ;21.30     ;22.10     
2017/12/31 00:30:00 ;19.30     ;26.70     ;19.60     ;25.30     ;19.10     ;27.70     ;19.60     ;24.30     ;21.30     ;22.10     
2017/12/31 00:45:00 ;19.30     ;26.70     ;19.60     ;25.30     ;19.00     ;27.70     ;19.60     ;24.30     ;21.20     ;22.10     
2017/12/31 01:00:00 ;19.30     ;26.70     ;19.50     ;25.30     ;19.00     ;27.70     ;19.60     ;24.30     ;21.20     ;22.10     
2017/12/31 01:15:00 ;19.30     ;26.70     ;19.50     ;25.30     ;18.90     ;27.70     ;19.60     ;24.30     ;21.20     ;22.10     
2017/12/31 01:30:00 ;19.20     ;26.70     ;19.50     ;25.30     ;18.70     ;27.70     ;19.60     ;24.30     ;21.20     ;22.10     
2017/12/31 01:45:00 ;19.20     ;26.70     ;19.40     ;25.30     ;18.90     ;27.70     ;19.50     ;24.30     ;21.20     ;22.10     
2017/12/31 02:00:00 ;19.20     ;26.70     ;19.40     ;25.30     ;18.80     ;27.70     ;19.50     ;24.30     ;21.20     ;22.10     
2017/12/31 02:15:00 ;19.10     ;26.70     ;19.30     ;25.30     ;18.90     ;27.70     ;19.50     ;24.30     ;21.20     ;22.10     
2017/12/31 02:30:00 ;19.10     ;26.70     ;19.30     ;25.30     ;18.90     ;27.70     ;19.50     ;24.30     ;21.20     ;22.10     
2017/12/31 02:45:00 ;19.00     ;26.70     ;19.30     ;25.30     ;18.80     ;27.70     ;19.50     ;24.30     ;21.20     ;22.10     
2017/12/31 03:00:00 ;19.00     ;26.70     ;19.30     ;25.30     ;18.80     ;27.70     ;19.50     ;24.30     ;21.20     ;22.10     
2017/12/31 03:15:00 ;19.00     ;26.70     ;19.20     ;25.30     ;18.80     ;27.70     ;19.40     ;24.30     ;21.10     ;22.10     
2017/12/31 03:30:00 ;18.90     ;26.70     ;19.20     ;25.30     ;18.80     ;27.70     ;19.40     ;24.30     ;21.10     ;22.10     
2017/12/31 03:45:00 ;18.90     ;26.70     ;19.10     ;25.30     ;18.80     ;27.70     ;19.40     ;24.30     ;21.10     ;22.10     
2017/12/31 04:00:00 ;18.90     ;26.70     ;19.10     ;25.30     ;18.90     ;27.20     ;19.30     ;24.30     ;21.00     ;22.10     
2017/12/31 04:15:00 ;18.80     ;26.70     ;19.10     ;25.30     ;18.50     ;27.20     ;19.30     ;24.30     ;21.00     ;22.10     
2017/12/31 04:30:00 ;18.80     ;26.70     ;19.10     ;25.30     ;18.60     ;27.20     ;19.30     ;24.30     ;21.00     ;22.10     
2017/12/31 04:45:00 ;18.80     ;26.70     ;19.00     ;25.30     ;18.60     ;27.20     ;19.20     ;24.30     ;20.90     ;22.10     
2017/12/31 05:00:00 ;18.80     ;26.70     ;19.00     ;25.30     ;18.70     ;27.20     ;19.20     ;24.30     ;20.90     ;22.10     
2017/12/31 05:15:00 ;18.70     ;26.70     ;19.00     ;25.30     ;18.80     ;27.20     ;19.10     ;24.30     ;20.80     ;22.10     
2017/12/31 05:30:00 ;18.70     ;26.70     ;19.00     ;25.30     ;18.70     ;27.20     ;19.10     ;24.30     ;20.80     ;22.10     
