Sito;Lissone;
Data e ora del report;2018/1/3 07:50:25   ;Dalla data;2018/1/2 00:00:00   ;Alla data;2018/1/3 00:00:00   ;Frequenza;15 min.;
;LabPTsx-T;LabPTsx-U;LabPTdx-T;LabPTdx-U;cacli-T;cacli-U;LabPSsx-T;LabPSsx-U;LabPSdx-T;LabPSdx-U
2018/1/2 00:15:00   ;19.20     ;33.20     ;19.50     ;32.30     ;19.10     ;35.20     ;19.50     ;31.80     ;21.00     ;29.10     
2018/1/2 00:30:00   ;19.10     ;33.20     ;19.40     ;32.30     ;19.10     ;35.20     ;19.50     ;31.80     ;21.00     ;29.10     
2018/1/2 00:45:00   ;19.10     ;33.20     ;19.40     ;32.30     ;19.00     ;35.20     ;19.40     ;31.80     ;21.00     ;29.10     
2018/1/2 01:00:00   ;19.10     ;33.20     ;19.40     ;32.30     ;19.00     ;35.20     ;19.40     ;31.80     ;21.00     ;29.10     
2018/1/2 01:15:00   ;19.00     ;33.20     ;19.40     ;32.30     ;19.00     ;34.70     ;19.40     ;31.80     ;21.00     ;29.10     
2018/1/2 01:30:00   ;19.00     ;33.20     ;19.30     ;32.30     ;19.10     ;34.70     ;19.30     ;31.80     ;20.90     ;29.10     
2018/1/2 01:45:00   ;19.00     ;33.20     ;19.30     ;32.30     ;19.10     ;34.70     ;19.20     ;31.80     ;20.90     ;29.10     
2018/1/2 02:00:00   ;19.00     ;33.20     ;19.30     ;32.30     ;19.10     ;34.70     ;19.20     ;31.80     ;20.80     ;29.10     
2018/1/2 02:15:00   ;18.90     ;33.20     ;19.30     ;32.30     ;19.10     ;34.70     ;19.20     ;31.80     ;20.70     ;29.10     
2018/1/2 02:30:00   ;18.90     ;33.20     ;19.30     ;32.30     ;18.90     ;34.70     ;19.20     ;31.80     ;20.80     ;29.10     
2018/1/2 02:45:00   ;18.90     ;33.20     ;19.20     ;32.30     ;19.00     ;34.20     ;19.20     ;31.80     ;20.70     ;28.60     
2018/1/2 03:00:00   ;18.90     ;33.20     ;19.20     ;32.30     ;19.00     ;34.20     ;19.20     ;31.30     ;20.80     ;28.60     
2018/1/2 03:15:00   ;18.80     ;33.20     ;19.20     ;32.30     ;19.00     ;34.20     ;19.10     ;31.30     ;20.80     ;28.60     
2018/1/2 03:30:00   ;18.80     ;33.20     ;19.10     ;32.30     ;19.00     ;34.20     ;19.10     ;31.30     ;20.70     ;28.60     
2018/1/2 03:45:00   ;18.80     ;33.20     ;19.10     ;32.30     ;19.00     ;34.20     ;19.10     ;31.30     ;20.70     ;28.60     
2018/1/2 04:00:00   ;18.70     ;33.20     ;19.00     ;32.30     ;19.10     ;33.70     ;19.00     ;31.30     ;20.70     ;28.60     
2018/1/2 04:15:00   ;18.70     ;33.20     ;19.00     ;32.30     ;19.10     ;33.70     ;19.00     ;31.30     ;20.60     ;28.60     
